Table with row headers in column A and column headers in rows 5 through 6.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table A-3.  Mean Earnings of Workers 18 Years and Over, by Educational Attainment, Race, Hispanic Origin, and Sex:  1975 to 2019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Mean annual earnings [dollars].  Total number with earnings in thousands.  Standard error of the mean.  Noninstitutionalized population.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Race, sex, and earnings year",,,Total,,,Not a high school graduate,,,High school graduate,,,Some college/associate's degree,,,Bachelor's degree,,,Advanced degree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Mean,Number with earnings,Standard error,Mean,Number with earnings,Standard error,Mean,Number with earnings,Standard error,Mean,Number with earnings,Standard error,Mean,Number with earnings,Standard error,Mean,Number with earnings,Standard error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Both Sexes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2002,"27,457","57,254",163,"13,286","4,979",282,"21,381","17,433",224,"24,046","18,261",198,"37,872","11,243",521,"50,255","5,336",749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-Hispanic White alone or in combination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Both Sexes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2019,"64,081","105,915",451,"30,150","3,635",993,"42,632","25,160",452,"48,264","30,487",563,"77,020","29,686",909,"108,996","16,945","1,795",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2018,"60,731","105,563",397,"27,347","3,940",986,"42,274","25,586",506,"45,464","30,696",563,"74,740","28,795",845,"101,172","16,544","1,416",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2017,"58,297","105,469",291,"26,904","4,157",638,"41,142","26,003",434,"43,712","30,929",362,"70,848","28,240",567,"100,016","16,138","1,155",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2016,"56,249","105,396",282,"27,150","4,117",899,"39,070","26,546",360,"42,644","31,746",355,"69,962","27,347",623,"96,379","15,729","1,087",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2015,"54,138","105,849",273,"26,738","4,515",788,"38,446","26,400",365,"40,705","32,404",322,"67,469","26,896",622,"93,459","15,633","1,054",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2014,"51,984","104,543",259,"28,791","4,447","1,258","36,673","27,032",319,"40,306","31,919",361,"64,462","26,162",549,"89,586","14,981","1,012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2013,"50,424","104,642",289,"26,562","4,238","1,222","35,470","27,636",325,"38,177","32,311",357,"61,814","25,858",582,"92,592","14,598","1,312",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2012,"49,757","104,714",241,"23,002","4,588",642,"35,260","27,261",314,"37,725","33,054",291,"62,395","25,607",517,"91,442","14,202","1,081",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2011,"48,950","104,217",231,"22,468","4,960",522,"35,205","27,811",343,"36,916","32,528",250,"62,300","25,217",483,"90,442","13,699","1,074",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2010,"46,894","104,136",206,"22,408","4,940",686,"33,268","28,501",272,"36,046","32,321",237,"60,111","24,730",483,"85,960","13,644",879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2009,"45,813","106,618",208,"21,241","5,331",548,"32,478","30,276",233,"36,163","32,964",262,"58,398","24,814",482,"86,674","13,231",986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2008,"46,050","108,823",206,"21,579","5,959",451,"33,105","30,982",257,"36,042","33,806",243,"60,818","24,717",528,"84,996","13,358",911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2007,"45,393","108,929",198,"22,945","6,040",516,"32,992","31,288",246,"36,176","33,994",235,"59,637","24,622",493,"82,840","12,983",924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2006,"44,652","108,297",214,"22,094","6,995",345,"32,844","31,802",291,"35,795","32,962",270,"58,785","24,103",535,"83,629","12,433","1,010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2005,"42,839","107,945",211,"21,088","6,744",342,"31,367","31,951",245,"34,824","33,991",276,"56,441","23,253",544,"81,944","12,003","1,072",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2004,"40,847","107,086",194,"19,667","6,893",407,"30,195","32,217",241,"33,192","33,201",231,"53,335","22,815",456,"79,166","11,961","1,064",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2003,"39,989","106,658",184,"19,764","6,906",300,"29,561","32,225",205,"32,732","33,062",231,"52,823","22,686",494,"76,029","11,777",924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2002,"39,135","107,050",185,"19,491","7,516",375,"28,714","32,758",222,"32,210","32,876",246,"53,244","22,415",518,"74,011","11,482",877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2019,"75,443","55,836",651,"34,757","2,302","1,234","49,310","15,031",614,"58,579","15,447",846,"93,002","14,931","1,367","135,123","8,123","2,757",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2018,"72,324","55,743",632,"33,159","2,457","1,488","49,347","15,067",704,"56,378","15,607",969,"90,190","14,618","1,361","126,140","7,993","2,429",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2017,"69,152","56,133",460,"31,964","2,602",926,"48,321","15,471",636,"53,400","15,721",593,"85,654","14,456",904,"123,474","7,881","1,981",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2016,"66,808","55,923",446,"32,056","2,622","1,310","46,245","15,570",548,"51,344","16,121",566,"86,032","13,879","1,025","117,742","7,730","1,798",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2015,"64,884","56,124",436,"33,003","2,862","1,181","45,533","15,559",537,"48,967","16,271",502,"83,328","13,664","1,045","116,296","7,766","1,770",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2014,"62,883","55,277",424,"34,929","2,799","1,801","43,134","15,831",435,"49,537","15,922",606,"80,000","13,283",946,"113,429","7,439","1,768",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2013,"60,564","55,448",472,"32,072","2,770","1,791","40,829","16,130",392,"46,426","16,176",573,"75,330","13,088","1,009","119,984","7,282","2,300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2012,"60,103","55,462",391,"27,899","2,824",991,"41,984","15,644",495,"46,207","16,520",506,"75,609","13,257",829,"115,320","7,215","1,786",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2011,"59,346","55,152",375,"27,620","3,049",805,"42,612","15,908",560,"45,417","16,018",434,"75,075","13,067",725,"112,884","7,108","1,784",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2010,"56,546","55,081",339,"27,242","3,050","1,072","39,332","16,198",432,"43,587","15,845",392,"73,245","12,929",771,"107,217","7,058","1,501",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2009,"55,161","56,390",337,"25,612","3,262",857,"38,049","17,253",352,"43,680","16,218",429,"72,222","12,834",803,"107,782","6,821","1,612",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2008,"56,357","57,636",336,"26,226","3,743",676,"39,288","17,435",386,"44,075","16,739",395,"76,560","12,692",864,"107,540","7,025","1,533",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2007,"55,457","57,886",327,"27,810","3,800",771,"39,602","17,567",392,"43,707","16,973",359,"75,109","12,715",836,"104,236","6,830","1,565",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2006,"54,624","57,615",348,"25,996","4,358",448,"40,034","17,723",488,"43,491","16,320",432,"73,244","12,424",882,"103,794","6,787","1,597",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2005,"53,084","57,553",356,"25,469","4,213",496,"38,034","17,787",401,"43,083","16,769",486,"70,891","12,187",905,"103,850","6,593","1,794",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2004,"50,488","56,762",321,"23,520","4,288",622,"36,323","17,817",369,"41,490","16,260",399,"66,467","11,870",739,"100,220","6,527","1,750",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2003,"49,227","56,549",302,"22,947","4,313",397,"35,550","17,549",314,"40,196","16,358",389,"66,368","11,946",839,"94,830","6,471","1,456",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2002,"48,700","56,714",307,"23,426","4,663",573,"34,830","17,446",346,"40,195","16,390",434,"66,776","11,859",830,"100,412","6,510","1,799",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2019,"51,413","50,078",518,"22,191","1,332","1,352","32,721","10,129",510,"37,668","15,039",609,"60,847","14,755",992,"84,939","8,822","1,953",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2018,"47,760","49,819",408,"17,716","1,482",690,"32,142","10,518",626,"34,175","15,089",481,"58,810","14,177",874,"77,832","8,551","1,317",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2017,"45,948","49,335",322,"18,429","1,554",630,"30,597","10,532",498,"33,698","15,208",382,"55,319","13,783",632,"77,626","8,257","1,156",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2016,"44,314","49,473",315,"18,546","1,495",856,"28,808","10,886",355,"33,667","15,625",404,"53,401","13,468",650,"75,732","7,998","1,176",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2015,"42,009","49,725",294,"15,893","1,653",539,"28,275","10,840",413,"32,372","16,132",388,"51,092","13,232",611,"70,913","7,866","1,066",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2014,"39,755","49,266",259,"18,362","1,647","1,416","27,542","11,201",442,"31,118","15,997",376,"48,436","12,879",482,"66,065","7,541",881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2013,"38,994","49,193",294,"16,163","1,468",889,"27,957","11,505",539,"29,907","16,135",406,"47,960","12,769",510,"65,324","7,315","1,098",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2012,"38,106","49,251",251,"15,161","1,763",450,"26,205","11,617",287,"29,250","16,534",269,"48,210","12,349",564,"66,783","6,986","1,101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2011,"37,264","49,065",239,"14,246","1,910",341,"25,304","11,902",256,"28,668","16,510",233,"48,561","12,150",598,"66,241","6,591","1,035",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2010,"34,434","57,804",182,"14,718","3,960",246,"24,581","14,861",217,"28,332","18,995",230,"45,130","12,937",492,"63,092","7,050",727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2009,"35,318","50,227",217,"14,347","2,068",348,"25,096","13,022",258,"28,882","16,745",292,"43,589","11,980",460,"64,211","6,409","1,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2008,"34,445","51,187",207,"13,726","2,215",329,"25,148","13,547",296,"28,163","17,067",271,"44,203","12,025",537,"59,983","6,332",754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2007,"33,979","51,043",188,"14,690","2,239",406,"24,530","13,721",227,"28,665","17,020",290,"43,115","11,907",435,"59,092","6,153",752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2006,"33,316","50,682",215,"15,642","2,636",509,"23,794","14,079",208,"28,248","16,641",315,"43,402","11,678",538,"59,389","5,646","1,010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2005,"31,139","50,391",182,"13,793","2,530",331,"22,994","14,163",201,"26,782","17,222",253,"40,527","11,065",509,"55,242","5,409",762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2004,"28,954","57,630",167,"13,498","4,788",199,"22,277","16,566",240,"25,079","18,925",202,"38,886","11,633",452,"53,859","5,718",871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2003,"29,564","50,108",177,"14,469","2,592",427,"22,479","14,765",235,"25,422","16,704",238,"37,757","10,739",411,"53,102","5,306",912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2002,"28,359","50,335",176,"13,060","2,853",265,"21,745","15,312",251,"24,271","16,485",214,"38,042","10,556",536,"49,827","5,127",708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black alone or in combination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Both Sexes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2019,"46,417","22,366",675,"29,324","1,455","2,317","33,267","6,883",805,"37,945","7,162",644,"61,222","4,523","1,854","93,008","2,341","3,644",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2018,"42,214","21,858",479,"23,705","1,591",773,"31,505","6,738",634,"38,025","7,120",729,"54,482","4,122","1,084","77,599","2,285","2,459",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2017,"41,274","21,401",460,"23,937","1,484",994,"31,926","6,656",775,"36,242","7,272",722,"53,964","3,948","1,136","77,781","2,039","1,727",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2016,"40,580","20,976",535,"24,895","1,638","1,678","30,186","6,459",652,"34,166","7,299",682,"57,751","3,598","1,538","79,881","1,981","3,025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2015,"39,326","20,228",522,"19,655","1,677",571,"29,060","6,260",538,"34,345","7,059",647,"55,584","3,393","1,583","81,381","1,837","3,433",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2014,"36,922","19,750",456,"22,204","1,514","1,402","28,241","6,204",567,"31,932","7,047",671,"52,652","3,257","1,238","71,738","1,725","2,528",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2013,"35,571","19,045",485,"20,951","1,726","1,434","26,594","5,960",603,"31,867","6,541",646,"49,351","3,229","1,481","72,413","1,587","2,612",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2012,"34,798","18,798",382,"18,964","1,599",922,"26,408","5,885",643,"31,438","6,743",539,"49,385","3,021",930,"69,209","1,548","1,965",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2011,"34,640","18,098",440,"17,330","1,701",620,"27,323","5,766",706,"32,580","6,274",740,"45,809","2,922",744,"70,880","1,433","2,710",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2010,"33,050","17,838",350,"17,525","1,747",605,"25,842","5,786",455,"30,901","6,262",575,"44,743","2,730",708,"71,409","1,313","2,414",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2009,"33,294","17,389",371,"18,841","1,691","1,064","26,805","5,972",607,"30,451","5,823",480,"47,773","2,696",864,"67,075","1,205","2,384",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2008,"32,878","18,157",358,"18,049","1,826","1,243","27,123","6,220",553,"30,266","6,207",399,"46,983","2,654",941,"66,247","1,248","2,438",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2007,"33,318","18,023",380,"17,555","1,903",430,"27,096","6,149",552,"32,580","6,056",790,"46,555","2,761",747,"64,714","1,152","1,767",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2006,"32,384","17,721",395,"17,842","1,995",463,"26,290","6,305",576,"31,175","5,759",656,"47,740","2,580","1,330","64,563","1,080","2,206",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2005,"30,521","17,540",333,"17,264","2,097",437,"23,810","6,246",320,"28,817","5,576",453,"47,641","2,501","1,490","63,065","1,118","2,079",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2004,"29,031","17,110",292,"17,821","2,085","1,085","23,458","6,299",247,"27,801","5,370",443,"42,131","2,415",829,"64,545",942,"2,346",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2003,"28,854","16,871",332,"16,238","2,177",388,"23,956","6,082",368,"27,095","5,296",414,"42,991","2,374","1,226","63,966",940,"3,245",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2002,"28,255","16,833",334,"17,114","2,217",974,"22,762","5,940",374,"27,582","5,441",493,"42,099","2,348",884,"60,458",884,"3,202",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2019,"50,103","10,469","1,083","33,728",778,"3,556","36,641","3,681",998,"42,712","3,200","1,125","67,176","1,998","2,974","114,049",810,"8,358",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2018,"46,264","10,127",825,"27,788",833,"1,256","36,822","3,544","1,107","44,706","3,105","1,328","58,203","1,860","1,937","86,444",783,"5,445",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2017,"45,864","10,030",765,"27,639",747,"1,429","36,658","3,602","1,199","40,854","3,197","1,137","61,668","1,708","2,259","92,018",775,"3,246",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2016,"46,496","9,842",956,"28,803",868,"2,600","35,148","3,389","1,159","38,631","3,230",856,"70,663","1,626","3,176","101,400",727,"7,095",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2015,"43,773","9,472",779,"23,797",848,886,"33,581","3,287",911,"39,238","3,084","1,082","63,992","1,537","2,645","90,477",714,"4,883",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2014,"42,302","9,139",796,"25,531",802,"2,394","32,701","3,179",955,"37,034","3,034","1,128","60,583","1,446","2,262","91,907",675,"5,288",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2013,"40,318","8,860",901,"25,377",934,"2,577","29,742","3,044","1,085","37,568","2,852","1,305","56,800","1,387","3,111","88,936",640,"4,676",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2012,"38,147","8,772",603,"19,877",869,684,"29,982","3,033","1,037","35,733","2,973",753,"54,483","1,270","1,365","81,457",625,"4,182",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2011,"38,722","8,350",759,"20,704",861,"1,110","31,081","2,927","1,017","37,776","2,799","1,413","50,163","1,218","1,320","87,635",543,"5,648",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2010,"36,190","8,193",582,"19,428",944,967,"29,801","3,003",813,"35,132","2,618","1,095","48,948","1,113","1,258","82,022",514,"3,653",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2009,"37,500","7,963",648,"21,585",912,"1,913","30,541","3,087",950,"35,842","2,409",977,"55,824","1,068","1,777","79,551",485,"3,880",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2008,"36,386","8,442",621,"21,894",913,"2,417","30,690","3,263",976,"34,159","2,631",657,"52,773","1,103","1,645","73,362",530,"3,922",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2007,"35,669","8,405",405,"19,932","1,019",644,"29,508","3,083",493,"33,845","2,621",601,"52,951","1,200","1,155","75,355",480,"3,182",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2006,"36,026","8,170",608,"21,361","1,006",738,"29,973","3,146",869,"34,784","2,417","1,008","52,382","1,124","1,854","74,769",475,"4,415",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2005,"34,258","8,127",626,"19,996","1,093",701,"27,189","3,142",539,"33,449","2,380",884,"53,556","1,049","3,296","76,407",462,"4,227",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2004,"32,919","7,885",538,"22,755","1,050","2,103","26,575","3,202",388,"32,466","2,258",891,"47,448",976,"1,512","77,648",398,"4,786",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2003,"32,574","7,689",520,"17,982","1,088",530,"28,323","2,981",607,"31,591","2,233",721,"45,705",982,"1,122","76,954",402,"6,481",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2002,"31,967","7,734",617,"20,537","1,114","1,893","25,510","2,902",479,"32,696","2,375","1,003","46,942","1,009","1,558","76,003",332,"7,767",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2019,"43,173","11,896",849,"24,253",676,"2,868","29,387","3,202","1,302","34,093","3,961",726,"56,510","2,525","2,364","81,864","1,530","3,357",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2018,"38,718","11,731",516,"19,221",758,771,"25,604","3,193",492,"32,856","4,014",737,"51,423","2,261","1,124","72,984","1,502","2,328",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2017,"37,224","11,370",536,"20,184",737,"1,357","26,345","3,054",904,"32,623","4,074",923,"48,089","2,240",988,"69,040","1,263","1,877",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2016,"35,351","11,134",543,"20,483",769,"2,017","24,709","3,069",463,"30,622","4,069","1,012","47,094","1,971",889,"67,406","1,254","2,307",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2015,"35,411","10,756",699,"15,420",829,661,"24,060","2,972",490,"30,548","3,974",776,"48,620","1,855","1,864","75,598","1,123","4,666",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2014,"32,288","10,611",494,"18,457",712,"1,245","23,553","3,025",565,"28,073","4,013",805,"46,315","1,810","1,267","58,757","1,050","2,228",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2013,"31,442","10,185",447,"15,723",791,611,"23,309","2,916",468,"27,457","3,688",515,"43,738","1,841","1,077","61,233",946,"2,903",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
